A1: Ladder,B1: Jono 2.3A cDNA 10F,C1: Nicky 2.3A cDNA 10F
0.03528357,0,0.05475378
0.0147295,0.001120567,0.02525187
0.05741644,0,0
0.05244875,0.01720428,0
0,0,0
0.02295876,0.02034569,0
0,0,0
0,0.003602982,0.006515503
0.02078199,0,0.06839037
0.0659318,0,0.06315994
0.09467316,0.04484653,0.1721663
0.07181883,0,0.181901
0.1142926,0.01943302,0.1898708
0.1354589,0.02421474,0.2502713
0.06885386,0.01083565,0.1555314
0.09610701,0,0.1429019
0,0,0.1336231
0,0.009904861,0.1579285
0.1121607,0.03107262,0.07643318
0.06460571,0.01115322,0
0.1220737,0.1047592,0
0.1640277,0.1313019,0
0.2249031,0.07111931,0
0.2168431,0,0
0.06583595,0.02413797,0
0.07039213,0,0.01704216
0.008481979,0,0.09014034
0,0,0.2980947
0.01557112,0.007137299,0.3131514
0,0,0.3279781
0.07603979,0.07476521,0.3295898
0.2150817,0.1249595,0.3684239
0.2901878,0.1503448,0.3572664
0.4055071,0.1829543,0.426363
0.4189177,0.248631,0.3778963
0.4413042,0.2585807,0.2708011
0.3887177,0.3216681,0.3338685
0.3090434,0.3517375,0.3359408
0.214849,0.2057023,0.2626729
0.1336946,0.1518583,0.2507691
0.04397631,0.1013837,0.3511996
0.01090622,0.1173334,0.4314656
0,0.1372685,0.5043364
0.06327105,0.09693432,0.5094347
0.04297876,0.05184269,0.4408689
0.01340675,0.02742958,0.3657632
0.1204042,0.05411053,0.3945189
0.1944666,0.04182863,0.3113003
0.2921619,0,0.270052
0.3578167,0.06767178,0.2852607
0.372674,0.1154757,0.2922511
0.4203348,0.2426686,0.3486748
0.3869743,0.3696594,0.4388447
0.36976,0.5247369,0.5322213
0.3720064,0.6002684,0.6352453
0.3855381,0.6784744,0.6412616
0.4123483,0.6660628,0.6494894
0.3201118,0.6721978,0.7166228
0.3619723,0.569026,0.7130346
0.269753,0.536449,0.7052622
0.3447347,0.4290648,0.6951265
