A1: Ladder,B1: Jono_cDNA_PLC_10F,C1: Jono_Prot_PLC_10F,D1: Nicky_cDNA_PLC_10F,E1: Nicky_PLA_PLC_10F
22.70454,18.18014,11.01792,6.244226,8.367246
21.61725,17.8117,10.86104,6.342014,8.480766
20.50431,17.44635,10.69141,6.377427,8.533081
19.66849,17.25019,10.55044,6.466514,8.604207
18.90572,17.11688,10.60004,6.466615,8.513137
18.28472,16.93825,10.53887,6.307608,8.573938
17.67218,16.74771,10.42795,6.16436,8.629648
16.96383,16.53729,10.36162,6.026261,8.343472
16.44374,16.14799,10.25754,5.936118,8.54839
16.08188,15.75993,10.19845,5.876684,8.705856
15.74434,15.44098,10.16412,5.863248,8.838995
15.41831,15.06269,10.00479,5.76552,8.905186
15.0172,14.86209,9.982709,5.78235,8.8316
14.83163,14.78223,9.904655,5.797535,8.577225
14.80879,14.68107,9.916683,5.862173,8.326148
15.02524,14.65494,9.813929,5.815939,8.116227
15.23379,14.61224,9.858035,5.679288,7.860101
15.80708,14.61964,9.832932,5.579237,7.698795
16.54818,14.4339,9.724998,5.552801,7.936001
17.91529,14.30964,9.640839,5.558375,7.82229
20.20731,14.10291,9.507001,5.554111,7.722651
24.56182,13.79762,9.439538,5.431117,7.639875
32.07954,13.66588,9.402682,5.481505,7.640046
44.34205,13.5407,9.303096,5.531253,7.54505
63.26353,13.26425,9.204921,5.611823,7.621179
88.27249,13.04392,9.069508,5.614812,7.575401
117.4707,12.77152,8.937056,5.404498,7.550751
147.9445,12.33974,8.857847,5.295214,7.518581
175.3746,12.01319,8.700757,5.228437,7.485218
195.5921,11.72472,8.80495,5.135752,7.439756
206.1157,11.4548,8.711243,5.049194,7.426632
205.509,11.12896,8.935272,4.955077,7.459268
193.7909,11.02869,8.800794,4.993752,7.549302
173.974,11.03371,8.753792,5.033777,7.645211
150.0232,10.98676,8.68101,5.098727,7.700891
124.6649,10.99171,8.516064,5.089601,7.735415
100.3571,10.87658,8.379355,5.061062,7.755077
79.04441,10.62076,8.326629,5.137784,7.69261
61.47926,10.48801,8.443358,5.182551,7.680958
